Source,Target,Weight,Type
All_mnd,Moth_mnd,1,Undirected
All_mnd,Helena_mnd,1,Undirected
All_mnd,Bottom,3,Undirected
All_mnd,Peaseblossom,1,Undirected
All_mnd,Puck,2,Undirected
All_mnd,Flute,2,Undirected
All_mnd,Mustardseed,2,Undirected
All_mnd,Titania,3,Undirected
All_mnd,Snout,2,Undirected
All_mnd,Snug,2,Undirected
All_mnd,Cobweb,1,Undirected
All_mnd,Starveling,2,Undirected
All_mnd,Quince,3,Undirected
All_mnd,Fairy,1,Undirected
All_mnd,Oberon,1,Undirected
All_mnd,Demetrius_mnd,1,Undirected
Bottom,Theseus,13,Undirected
Bottom,Hermia,3,Undirected
Bottom,Cupid,1,Undirected
Bottom,Egeus,1,Undirected
Bottom,Quince,65,Undirected
Bottom,Oberon,6,Undirected
Bottom,Demetrius_mnd,6,Undirected
Bottom,Pyramus,15,Undirected
Bottom,Moth_mnd,3,Undirected
Bottom,Peaseblossom,9,Undirected
Bottom,Flute,21,Undirected
Bottom,Lysander,4,Undirected
Bottom,Mustardseed,13,Undirected
Bottom,Snug,8,Undirected
Bottom,Hippolyta,3,Undirected
Bottom,Moonshine,3,Undirected
Bottom,Titania,25,Undirected
Bottom,Fairy,5,Undirected
Bottom,Helena_mnd,4,Undirected
Bottom,Snout,19,Undirected
Bottom,Wall,7,Undirected
Bottom,Puck,8,Undirected
Bottom,Thisby,14,Undirected
Bottom,Changeling,1,Undirected
Bottom,Lion,6,Undirected
Bottom,Hercules,1,Undirected
Bottom,Cobweb,11,Undirected
Bottom,Starveling,12,Undirected
Bottom,Philostrate,1,Undirected
Cadmus,Hercules,1,Undirected
Cadmus,Hippolyta,1,Undirected
Changeling,mother_changeling,1,Undirected
Changeling,Theseus,1,Undirected
Changeling,Hermia,1,Undirected
Changeling,Cupid,2,Undirected
Changeling,Egeus,1,Undirected
Changeling,Quince,1,Undirected
Changeling,Oberon,7,Undirected
Changeling,Demetrius_mnd,2,Undirected
Changeling,Pyramus,1,Undirected
Changeling,Moth_mnd,1,Undirected
Changeling,Peaseblossom,1,Undirected
Changeling,Flute,1,Undirected
Changeling,Mustardseed,1,Undirected
Changeling,Hippolyta,1,Undirected
Changeling,Titania,7,Undirected
Changeling,Fairy,3,Undirected
Changeling,Helena_mnd,1,Undirected
Changeling,Snout,1,Undirected
Changeling,Puck,5,Undirected
Changeling,Lysander,2,Undirected
Changeling,Cobweb,1,Undirected
Changeling,Starveling,1,Undirected
Cobweb,Pyramus,1,Undirected
Cobweb,Egeus,1,Undirected
Cobweb,Theseus,1,Undirected
Cobweb,Helena_mnd,1,Undirected
Cobweb,Peaseblossom,9,Undirected
Cobweb,Hermia,1,Undirected
Cobweb,Flute,2,Undirected
Cobweb,Moth_mnd,7,Undirected
Cobweb,Cupid,1,Undirected
Cobweb,Titania,5,Undirected
Cobweb,Snout,2,Undirected
Cobweb,Lysander,1,Undirected
Cobweb,Snug,1,Undirected
Cobweb,Mustardseed,6,Undirected
Cobweb,Starveling,2,Undirected
Cobweb,Puck,3,Undirected
Cobweb,Quince,2,Undirected
Cobweb,Fairy,1,Undirected
Cobweb,Oberon,2,Undirected
Cobweb,Demetrius_mnd,1,Undirected
Cobweb,Hippolyta,1,Undirected
Cupid,Pyramus,1,Undirected
Cupid,Egeus,1,Undirected
Cupid,Theseus,1,Undirected
Cupid,Helena_mnd,2,Undirected
Cupid,Peaseblossom,1,Undirected
Cupid,Hermia,3,Undirected
Cupid,Flute,1,Undirected
Cupid,Moth_mnd,1,Undirected
Cupid,Mustardseed,1,Undirected
Cupid,Titania,4,Undirected
Cupid,Snout,1,Undirected
Cupid,Lysander,2,Undirected
Cupid,Hippolyta,1,Undirected
Cupid,Puck,4,Undirected
Cupid,Quince,1,Undirected
Cupid,Fairy,2,Undirected
Cupid,Oberon,4,Undirected
Cupid,Demetrius_mnd,2,Undirected
Cupid,Starveling,1,Undirected
Demetrius_mnd,Theseus,23,Undirected
Demetrius_mnd,Hermia,42,Undirected
Demetrius_mnd,Egeus,12,Undirected
Demetrius_mnd,Quince,5,Undirected
Demetrius_mnd,Oberon,9,Undirected
Demetrius_mnd,Pyramus,8,Undirected
Demetrius_mnd,Moth_mnd,1,Undirected
Demetrius_mnd,Peaseblossom,1,Undirected
Demetrius_mnd,Flute,6,Undirected
Demetrius_mnd,Lysander,55,Undirected
Demetrius_mnd,Mustardseed,1,Undirected
Demetrius_mnd,Snug,4,Undirected
Demetrius_mnd,Hippolyta,8,Undirected
Demetrius_mnd,Moonshine,2,Undirected
Demetrius_mnd,Titania,8,Undirected
Demetrius_mnd,Fairy,7,Undirected
Demetrius_mnd,Helena_mnd,48,Undirected
Demetrius_mnd,Snout,6,Undirected
Demetrius_mnd,Wall,3,Undirected
Demetrius_mnd,Puck,16,Undirected
Demetrius_mnd,Thisby,6,Undirected
Demetrius_mnd,Lion,4,Undirected
Demetrius_mnd,Hercules,2,Undirected
Demetrius_mnd,Starveling,7,Undirected
Demetrius_mnd,Philostrate,3,Undirected
Egeus,Pyramus,1,Undirected
Egeus,Theseus,22,Undirected
Egeus,Helena_mnd,3,Undirected
Egeus,Peaseblossom,1,Undirected
Egeus,Hermia,11,Undirected
Egeus,Flute,1,Undirected
Egeus,Moth_mnd,1,Undirected
Egeus,Mustardseed,1,Undirected
Egeus,Titania,2,Undirected
Egeus,Snout,1,Undirected
Egeus,Lysander,10,Undirected
Egeus,Hippolyta,7,Undirected
Egeus,Puck,2,Undirected
Egeus,Quince,1,Undirected
Egeus,Fairy,1,Undirected
Egeus,Oberon,1,Undirected
Egeus,Philostrate,1,Undirected
Egeus,Starveling,1,Undirected
Fairy,mother_changeling,1,Undirected
Fairy,Theseus,5,Undirected
Fairy,Hermia,4,Undirected
Fairy,Snout,5,Undirected
Fairy,Quince,5,Undirected
Fairy,Oberon,13,Undirected
Fairy,Pyramus,4,Undirected
Fairy,Moth_mnd,1,Undirected
Fairy,Peaseblossom,1,Undirected
Fairy,Flute,5,Undirected
Fairy,Lysander,5,Undirected
Fairy,Mustardseed,1,Undirected
Fairy,Snug,4,Undirected
Fairy,Hippolyta,2,Undirected
Fairy,Moonshine,1,Undirected
Fairy,Titania,19,Undirected
Fairy,Helena_mnd,7,Undirected
Fairy,Wall,1,Undirected
Fairy,Puck,20,Undirected
Fairy,Thisby,3,Undirected
Fairy,Lion,1,Undirected
Fairy,Hercules,1,Undirected
Fairy,Starveling,5,Undirected
Fairy,Philostrate,1,Undirected
Flute,Theseus,4,Undirected
Flute,Hermia,3,Undirected
Flute,Snout,11,Undirected
Flute,Quince,29,Undirected
Flute,Oberon,4,Undirected
Flute,Pyramus,9,Undirected
Flute,Moth_mnd,2,Undirected
Flute,Peaseblossom,2,Undirected
Flute,Lysander,4,Undirected
Flute,Mustardseed,2,Undirected
Flute,Snug,10,Undirected
Flute,Hippolyta,2,Undirected
Flute,Moonshine,1,Undirected
Flute,Titania,6,Undirected
Flute,Helena_mnd,4,Undirected
Flute,Wall,3,Undirected
Flute,Puck,6,Undirected
Flute,Thisby,13,Undirected
Flute,Lion,1,Undirected
Flute,Hercules,1,Undirected
Flute,Starveling,12,Undirected
Flute,Philostrate,1,Undirected
Helena_mnd,Pyramus,3,Undirected
Helena_mnd,Theseus,5,Undirected
Helena_mnd,Thisby,2,Undirected
Helena_mnd,Wall,1,Undirected
Helena_mnd,Peaseblossom,1,Undirected
Helena_mnd,Hermia,53,Undirected
Helena_mnd,Puck,6,Undirected
Helena_mnd,Moth_mnd,1,Undirected
Helena_mnd,Mustardseed,1,Undirected
Helena_mnd,Titania,6,Undirected
Helena_mnd,Snout,4,Undirected
