Source,Target,Weight,Type
Bottom,Theseus,5,undirected
Bottom,Snout,7,undirected
Bottom,Quince,45,undirected
Bottom,Demetrius_mnd,1,undirected
Bottom,Peaseblossom,3,undirected
Bottom,Flute,10,undirected
Bottom,Mustardseed,7,undirected
Bottom,Hippolyta,1,undirected
Bottom,Titania,16,undirected
Bottom,Cobweb,5,undirected
Bottom,Starveling,2,undirected
Hermia,Theseus,8,undirected
Hermia,Lysander,34,undirected
Snout,Theseus,1,undirected
Snout,Starveling,2,undirected
Quince,Theseus,1,undirected
Quince,Snout,4,undirected
Quince,Snug,2,undirected
Quince,Starveling,3,undirected
Oberon,Titania,18,undirected
Oberon,Puck,22,undirected
Demetrius_mnd,Theseus,12,undirected
Demetrius_mnd,Hermia,13,undirected
Demetrius_mnd,Snout,1,undirected
Demetrius_mnd,Pyramus,1,undirected
Demetrius_mnd,Flute,1,undirected
Demetrius_mnd,Hippolyta,2,undirected
Demetrius_mnd,Helena_mnd,18,undirected
Demetrius_mnd,Egeus,1,undirected
Demetrius_mnd,Puck,7,undirected
Demetrius_mnd,Lysander,22,undirected
Demetrius_mnd,Starveling,2,undirected
Moth_mnd,Mustardseed,2,undirected
Peaseblossom,Titania,1,undirected
Flute,Quince,14,undirected
Flute,Snug,2,undirected
Flute,Starveling,1,undirected
Lysander,Theseus,11,undirected
Lysander,Puck,3,undirected
Lysander,Starveling,1,undirected
Snug,Theseus,1,undirected
Hippolyta,Theseus,19,undirected
Hippolyta,Pyramus,1,undirected
Hippolyta,Lysander,1,undirected
All_mnd,Bottom,1,undirected
All_mnd,Quince,1,undirected
All_mnd,Mustardseed,1,undirected
All_mnd,Titania,1,undirected
Fairy,Titania,1,undirected
Fairy,Puck,5,undirected
Helena_mnd,Hermia,30,undirected
Helena_mnd,Lysander,15,undirected
Egeus,Theseus,8,undirected
Egeus,Lysander,3,undirected
Puck,Quince,1,undirected
Cobweb,Moth_mnd,2,undirected
Cobweb,Peaseblossom,3,undirected
Starveling,Theseus,3,undirected
Philostrate,Theseus,10,undirected
