Source,Target,Weight,Type
Theseus,Titania,6,undirected
Theseus,Wall,2,undirected
Theseus,Thisby,5,undirected
Bottom,Theseus,6,undirected
Bottom,Snout,4,undirected
Bottom,Quince,12,undirected
Bottom,Oberon,1,undirected
Bottom,Pyramus,12,undirected
Bottom,Peaseblossom,3,undirected
Bottom,Flute,3,undirected
Bottom,Lion,5,undirected
Bottom,Mustardseed,3,undirected
Bottom,Moonshine,2,undirected
Bottom,Titania,2,undirected
Bottom,Wall,6,undirected
Bottom,Puck,1,undirected
Bottom,Thisby,12,undirected
Bottom,Snug,1,undirected
Bottom,Cobweb,3,undirected
Bottom,Starveling,2,undirected
Hermia,Theseus,7,undirected
Hermia,Hippolyta,1,undirected
Hermia,Titania,1,undirected
Hermia,Puck,1,undirected
Hermia,Lysander,39,undirected
Cupid,Hermia,2,undirected
Cupid,Oberon,3,undirected
Cupid,Demetrius_mnd,1,undirected
Cupid,Titania,2,undirected
Cupid,Fairy,1,undirected
Cupid,Helena_mnd,1,undirected
Cupid,Puck,2,undirected
Cupid,Lysander,1,undirected
Snout,Theseus,1,undirected
Snout,Wall,4,undirected
Snout,Thisby,3,undirected
Snout,Starveling,2,undirected
Quince,Theseus,4,undirected
Quince,Snout,3,undirected
Quince,Wall,2,undirected
Quince,Thisby,9,undirected
Quince,Snug,1,undirected
Quince,Starveling,4,undirected
Oberon,Theseus,2,undirected
Oberon,Titania,16,undirected
Oberon,Puck,12,undirected
Demetrius_mnd,Theseus,7,undirected
Demetrius_mnd,Hermia,22,undirected
Demetrius_mnd,Oberon,4,undirected
Demetrius_mnd,Pyramus,2,undirected
Demetrius_mnd,Lion,2,undirected
Demetrius_mnd,Hippolyta,2,undirected
Demetrius_mnd,Titania,2,undirected
Demetrius_mnd,Fairy,1,undirected
Demetrius_mnd,Helena_mnd,22,undirected
Demetrius_mnd,Egeus,8,undirected
Demetrius_mnd,Wall,1,undirected
Demetrius_mnd,Puck,2,undirected
Demetrius_mnd,Thisby,2,undirected
Demetrius_mnd,Lysander,24,undirected
Pyramus,Theseus,7,undirected
Pyramus,Snout,3,undirected
Pyramus,Quince,14,undirected
Pyramus,Titania,1,undirected
Pyramus,Wall,6,undirected
Pyramus,Thisby,18,undirected
Pyramus,Snug,1,undirected
Pyramus,Starveling,1,undirected
Moth_mnd,Peaseblossom,1,undirected
Moth_mnd,Mustardseed,1,undirected
Moth_mnd,Titania,1,undirected
Peaseblossom,Titania,1,undirected
Flute,Theseus,2,undirected
Flute,Snout,1,undirected
Flute,Quince,5,undirected
Flute,Pyramus,6,undirected
Flute,Wall,2,undirected
Flute,Thisby,11,undirected
Flute,Starveling,1,undirected
Lysander,Theseus,4,undirected
Lysander,Oberon,1,undirected
Lysander,Titania,2,undirected
Lysander,Puck,2,undirected
Mustardseed,Peaseblossom,1,undirected
Mustardseed,Titania,1,undirected
Snug,Theseus,1,undirected
Snug,Thisby,1,undirected
Hippolyta,Theseus,9,undirected
Hippolyta,Quince,2,undirected
Hippolyta,Oberon,1,undirected
Hippolyta,Moonshine,1,undirected
Hippolyta,Titania,1,undirected
Hippolyta,Thisby,1,undirected
Hippolyta,Philostrate,1,undirected
Moonshine,Theseus,1,undirected
Moonshine,Quince,2,undirected
Moonshine,Pyramus,3,undirected
Moonshine,Wall,2,undirected
Moonshine,Thisby,4,undirected
Moonshine,Starveling,3,undirected
Titania,mother_changeling,1,undirected
Fairy,mother_changeling,1,undirected
Fairy,Theseus,3,undirected
Fairy,Oberon,8,undirected
Fairy,Pyramus,1,undirected
Fairy,Titania,12,undirected
Fairy,Helena_mnd,2,undirected
Fairy,Puck,8,undirected
Fairy,Thisby,1,undirected
Helena_mnd,Theseus,2,undirected
Helena_mnd,Hermia,19,undirected
Helena_mnd,Oberon,3,undirected
Helena_mnd,Hippolyta,1,undirected
Helena_mnd,Titania,1,undirected
Helena_mnd,Puck,1,undirected
Helena_mnd,Lysander,19,undirected
Egeus,Theseus,10,undirected
Egeus,Hermia,8,undirected
Egeus,Hippolyta,3,undirected
Egeus,Helena_mnd,1,undirected
Egeus,Lysander,4,undirected
Puck,Theseus,1,undirected
Puck,Pyramus,2,undirected
Puck,Titania,6,undirected
Puck,Thisby,1,undirected
Thisby,Titania,1,undirected
Thisby,Wall,8,undirected
Changeling,mother_changeling,1,undirected
Changeling,Cupid,1,undirected
Changeling,Oberon,6,undirected
Changeling,Demetrius_mnd,1,undirected
Changeling,Titania,5,undirected
Changeling,Fairy,2,undirected
Changeling,Puck,3,undirected
Changeling,Lysander,1,undirected
Cadmus,Hercules,1,undirected
Cadmus,Hippolyta,1,undirected
Lion,Theseus,6,undirected
Lion,Snout,2,undirected
Lion,Quince,2,undirected
Lion,Pyramus,3,undirected
Lion,Moonshine,3,undirected
Lion,Wall,1,undirected
Lion,Puck,1,undirected
Lion,Thisby,4,undirected
Lion,Lysander,2,undirected
Lion,Snug,6,undirected
Hercules,Theseus,1,undirected
Hercules,Pyramus,1,undirected
Hercules,Hippolyta,1,undirected
Hercules,Thisby,1,undirected
Cobweb,Moth_mnd,1,undirected
Cobweb,Peaseblossom,2,undirected
Cobweb,Mustardseed,2,undirected
Cobweb,Titania,1,undirected
Starveling,Theseus,1,undirected
Starveling,Thisby,1,undirected
Philostrate,Theseus,4,undirected
Philostrate,Pyramus,1,undirected
