Source,Target,Weight,Type
Theseus,Titania,3,undirected
Theseus,Wall,1,undirected
Theseus,Thisby,2,undirected
Bottom,Theseus,2,undirected
Bottom,Hermia,3,undirected
Bottom,Cupid,1,undirected
Bottom,Snout,6,undirected
Bottom,Quince,6,undirected
Bottom,Oberon,4,undirected
Bottom,Demetrius_mnd,5,undirected
Bottom,Pyramus,3,undirected
Bottom,Moth_mnd,2,undirected
Bottom,Peaseblossom,2,undirected
Bottom,Flute,6,undirected
Bottom,Lion,1,undirected
Bottom,Mustardseed,2,undirected
Bottom,Hercules,1,undirected
Bottom,Hippolyta,2,undirected
Bottom,Moonshine,1,undirected
Bottom,Titania,6,undirected
Bottom,Fairy,5,undirected
Bottom,Helena_mnd,4,undirected
Bottom,Egeus,1,undirected
Bottom,Wall,1,undirected
Bottom,Puck,6,undirected
Bottom,Thisby,2,undirected
Bottom,Changeling,1,undirected
Bottom,Lysander,4,undirected
Bottom,Snug,5,undirected
Bottom,Cobweb,2,undirected
Bottom,Starveling,6,undirected
Bottom,Philostrate,1,undirected
Hermia,Theseus,3,undirected
Hermia,Snout,3,undirected
Hermia,Quince,3,undirected
Hermia,Oberon,3,undirected
Hermia,Pyramus,3,undirected
Hermia,Moth_mnd,1,undirected
Hermia,Peaseblossom,1,undirected
Hermia,Lion,1,undirected
Hermia,Mustardseed,1,undirected
Hermia,Hippolyta,3,undirected
Hermia,Moonshine,1,undirected
Hermia,Titania,4,undirected
Hermia,Wall,1,undirected
Hermia,Puck,4,undirected
Hermia,Thisby,2,undirected
Hermia,Lysander,5,undirected
Hermia,Snug,2,undirected
Hermia,Starveling,3,undirected
Hermia,Philostrate,2,undirected
Cupid,Theseus,1,undirected
Cupid,Hermia,1,undirected
Cupid,Snout,1,undirected
Cupid,Quince,1,undirected
Cupid,Oberon,1,undirected
Cupid,Demetrius_mnd,1,undirected
Cupid,Pyramus,1,undirected
Cupid,Moth_mnd,1,undirected
Cupid,Peaseblossom,1,undirected
Cupid,Flute,1,undirected
Cupid,Mustardseed,1,undirected
Cupid,Hippolyta,1,undirected
Cupid,Titania,2,undirected
Cupid,Fairy,1,undirected
Cupid,Helena_mnd,1,undirected
Cupid,Egeus,1,undirected
Cupid,Puck,2,undirected
Cupid,Lysander,1,undirected
Cupid,Starveling,1,undirected
Snout,Theseus,2,undirected
Snout,Titania,6,undirected
Snout,Wall,1,undirected
Snout,Thisby,2,undirected
Snout,Snug,5,undirected
Snout,Starveling,6,undirected
Quince,Theseus,2,undirected
Quince,Snout,6,undirected
Quince,Titania,6,undirected
Quince,Wall,1,undirected
