Source,Target,Weight,Type
Bottom,Snout,2,undirected
Bottom,Quince,2,undirected
Bottom,Oberon,1,undirected
Bottom,Moth_mnd,1,undirected
Bottom,Peaseblossom,1,undirected
Bottom,Flute,2,undirected
Bottom,Mustardseed,1,undirected
Bottom,Titania,1,undirected
Bottom,Puck,1,undirected
Bottom,Snug,2,undirected
Bottom,Cobweb,1,undirected
Bottom,Starveling,2,undirected
Hermia,Lysander,3,undirected
Snout,Snug,3,undirected
Snout,Starveling,4,undirected
Quince,Snout,4,undirected
Quince,Snug,3,undirected
Quince,Starveling,4,undirected
Oberon,Peaseblossom,1,undirected
Oberon,Titania,5,undirected
Demetrius_mnd,Hermia,2,undirected
Demetrius_mnd,Helena_mnd,2,undirected
Demetrius_mnd,Egeus,1,undirected
Demetrius_mnd,Puck,1,undirected
Demetrius_mnd,Lysander,2,undirected
Pyramus,Wall,1,undirected
Pyramus,Thisby,2,undirected
Moth_mnd,Oberon,1,undirected
Moth_mnd,Peaseblossom,2,undirected
Moth_mnd,Mustardseed,2,undirected
Moth_mnd,Titania,1,undirected
Peaseblossom,Titania,1,undirected
Flute,Snout,4,undirected
Flute,Quince,4,undirected
Flute,Snug,3,undirected
Flute,Starveling,4,undirected
Mustardseed,Oberon,1,undirected
Mustardseed,Peaseblossom,2,undirected
Mustardseed,Titania,1,undirected
Snug,Starveling,3,undirected
Hippolyta,Theseus,4,undirected
Hippolyta,Philostrate,2,undirected
Moonshine,Pyramus,1,undirected
Moonshine,Wall,1,undirected
Moonshine,Thisby,2,undirected
Fairy,Puck,1,undirected
Helena_mnd,Lysander,1,undirected
Egeus,Theseus,2,undirected
Egeus,Hermia,1,undirected
Egeus,Hippolyta,2,undirected
Egeus,Lysander,1,undirected
Thisby,Wall,1,undirected
Lion,Pyramus,1,undirected
Lion,Moonshine,3,undirected
Lion,Wall,1,undirected
Lion,Thisby,3,undirected
Cobweb,Oberon,1,undirected
Cobweb,Moth_mnd,2,undirected
Cobweb,Peaseblossom,2,undirected
Cobweb,Mustardseed,2,undirected
Cobweb,Titania,1,undirected
Philostrate,Theseus,2,undirected
